ParkCode,LocationType,StationID,month,variable,mean,sd,N,SE,inc.10.4yr,inc.20.4yr,inc.50.4yr,inc.10.8yr,inc.20.8yr,inc.50.8yr,inc.10.12yr,inc.20.12yr,inc.50.12yr
ACAD,Stream,ACABIN,9,TotalArea,5.041,2.761392837,6,1.127333905,0.521,0.579,0.734,0.973,0.988,0.999,0.996,0.999,1
ACAD,Stream,ACABIN,10,TotalArea,5.63,0.161245155,6,0.065828059,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,TotalVel,0.431333333,0.494729286,6,0.201972385,0.187,0.211,0.289,0.473,0.54,0.727,0.604,0.679,0.856
ACAD,Stream,ACABIN,6,TotalVel,0.360666667,0.471274301,6,0.192396928,0.157,0.176,0.24,0.384,0.442,0.617,0.498,0.568,0.757
ACAD,Stream,ACABIN,7,TotalVel,0.062666667,0.064002083,6,0.026128741,0.219,0.248,0.341,0.564,0.636,0.818,0.704,0.776,0.924
ACAD,Stream,ACABIN,8,TotalVel,0.201,0.09152486,6,0.037364868,0.647,0.708,0.849,0.996,0.999,1,1,1,1
ACAD,Stream,ACABIN,9,TotalVel,0.089333333,0.092720368,6,0.037852932,0.214,0.243,0.333,0.551,0.623,0.806,0.69,0.763,0.916
ACAD,Stream,ACABIN,10,TotalVel,0.104666667,0.092162176,6,0.037625051,0.271,0.307,0.419,0.688,0.76,0.912,0.824,0.883,0.975
ACAD,Stream,ACABIN,5,TP_ug/L,8.1,3.040676616,8,1.075041527,0.864,0.906,0.974,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,TP_ug/L,13.86666667,3.542298518,12,1.022573501,0.998,0.999,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,Water Temperature,16.132,3.808151491,10,1.204243239,0.998,0.999,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,6,Water Temperature,19.842,3.880580713,10,1.22714737,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,7,Water Temperature,24.732,2.930039059,10,0.926559706,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,Water Temperature,21.54,3.411653824,12,0.984859627,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,9,Water Temperature,16.744,0.50153542,10,0.158599426,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,10,Water Temperature,12.204,2.785889844,10,0.880975722,0.999,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,ACOLOR,56.291,13.6854887,36,2.280914783,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,ACOLOR,69.83168421,3.910222791,38,0.634321898,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,ANC,96.50826667,9.268772455,30,1.692238585,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,ANC,196.478575,67.35872298,32,11.90745245,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,5,BP_mmHg,757.6423771,4.370303935,26,0.857087117,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,BP_mmHg,757.5763152,5.670787105,36,0.945131184,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,7,BP_mmHg,753.4185666,4.807479135,32,0.849850274,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,BP_mmHg,756.9014936,3.46670111,38,0.562373181,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,9,BP_mmHg,761.0969984,4.127164225,40,0.652561961,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,10,BP_mmHg,758.4115889,4.735249714,38,0.768158938,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,CHLA_ugL,1.483333333,0.362924628,36,0.060487438,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,CHLA_ugL,3.636842105,2.281111755,38,0.370045191,0.965,0.981,0.998,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,Cl_ueqL,184.7670649,10.49552865,22,2.237654226,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,Cl_ueqL,282.5454545,33.55553644,22,7.154064407,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,5,DO (%),76.24615385,15.85764751,26,3.109940542,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,DO (%),74.56666667,14.87194867,36,2.478658111,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,7,DO (%),34.36875,30.45935883,32,5.384504795,0.764,0.819,0.929,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,DO (%),33.20526316,27.7037118,38,4.494135498,0.853,0.897,0.971,1,1,1,1,1,1
ACAD,Lake,ACANTB,9,DO (%),49.6,15.83718442,40,2.504078724,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,10,DO (%),77.84736842,10.04333144,38,1.629243499,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,5,DO_mg.L,7.356923077,1.459311534,26,0.286194538,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,DO_mg.L,7.136666667,1.099818167,36,0.183303028,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,7,DO_mg.L,3.00125,2.601674089,32,0.459915348,0.779,0.832,0.937,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,DO_mg.L,2.833157895,2.274272209,38,0.36893567,0.874,0.914,0.978,1,1,1,1,1,1
ACAD,Lake,ACANTB,9,DO_mg.L,4.884,1.565589592,40,0.24754145,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,10,DO_mg.L,9.105263158,1.331759123,38,0.216039858,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,DOC_mgL,6.279454545,0.448999176,22,0.095726946,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,DOC_mgL,6.077,0.942318418,22,0.200902962,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,FPH,6.564533333,0.099490333,30,0.018164367,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,FPH,6.5831875,0.107926629,32,0.019078913,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,NH3_mg/L,0.014666667,0.004850713,18,0.001143324,0.997,0.999,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,NH3_mg/L,0.019,0,18,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,NO2_mg/L,0.001,0,12,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,NO2_mg/L,0.001,0,6,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,5,pH,6.146923077,0.26798163,26,0.052555522,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,pH,5.792777778,0.345266863,36,0.057544477,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,7,pH,5.64,0.353471265,32,0.062485482,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,pH,5.682631579,0.353604484,38,0.057362222,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,9,pH,5.69,0.200051275,40,0.031630884,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,10,pH,5.950526316,0.192437387,38,0.031217466,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,PO4_ug/L,1.2,0,8,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,PO4_ug/L,2.25,1.4,16,0.35,0.769,0.823,0.931,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,SO4_ueqL,19.17198864,3.576714607,22,0.762558116,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,SO4_ueqL,10.30909091,8.053328746,22,1.716975458,0.723,0.781,0.904,0.999,1,1,1,1,1
ACAD,Lake,ACANTB,5,Specific conductance,53.92307692,3.309659522,26,0.649077634,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,Specific conductance,37.83333333,11.06474453,36,1.844124088,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,7,Specific conductance,47.25,8.904511361,32,1.574110092,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,Specific conductance,56.21052632,10.68253916,38,1.732936684,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,9,Specific conductance,47.7,8.641581052,40,1.366353935,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,10,Specific conductance,48,8.889714676,38,1.442102148,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,T_Dis_N_mgL,0.273,0,8,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,T_Dis_N_mgL,0.41,0,10,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,T_Dis_P_ugL,3.9,0,8,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,T_Dis_P_ugL,6.4,0,10,0,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,TN_mg/L,0.2842,0.024464471,30,0.004466581,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,TN_mg/L,0.428263158,0.038230937,38,0.006201877,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,TP_ug/L,8.726666667,0.347337988,30,0.06341495,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,TP_ug/L,8.2,1.978260224,38,0.320916185,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,5,Water Temperature,16.97076923,2.419002973,26,0.474405514,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,Water Temperature,17.22222222,3.578924907,36,0.596487485,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,7,Water Temperature,20.32375,2.513876007,32,0.444394693,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,8,Water Temperature,21.82736842,2.91502138,38,0.472878911,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,9,Water Temperature,16.1285,1.464185343,40,0.23150803,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,10,Water Temperature,8.633684211,2.483837943,38,0.402931721,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,Al_ugL,27.48888889,2.734289646,18,0.64447825,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,Al_ugL,31.85360875,18.31875762,32,3.238329434,0.965,0.982,0.998,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,ANC,40.06111111,15.24424246,18,3.593102405,0.986,0.994,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,ANC,41.18993368,13.97629133,38,2.267253842,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,BP_mmHg,756.0329822,7.063011989,14,1.887669356,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,BP_mmHg,751.1836752,5.577093645,32,0.985900184,1,1,1,1,1,1,1,1,1
